@relation Jsqlparser

@attribute FT1 numeric
@attribute FT2 numeric
@attribute FT3 numeric
@attribute FT4 numeric
@attribute FT5 numeric
@attribute FT6 numeric
@attribute FT7 numeric
@attribute BS1 numeric
@attribute BS2 numeric
@attribute BS3 numeric
@attribute BS4 numeric
@attribute BS5 numeric
@attribute BS6 numeric
@attribute BS7 numeric
@attribute BS8 numeric
@attribute BS9 numeric
@attribute BS10 numeric
@attribute BS11 numeric
@attribute BS12 numeric
@attribute BS13 numeric
@attribute BS14 numeric
@attribute BS15 numeric
@attribute BS16 numeric
@attribute BS17 numeric
@attribute BS18 numeric
@attribute BS19 numeric
@attribute BS20 numeric
@attribute BS21 numeric
@attribute BS22 numeric
@attribute BS23 numeric
@attribute BS24 numeric
@attribute BS25 numeric
@attribute BS26 numeric
@attribute BS27 numeric
@attribute BS28 numeric
@attribute BS29 numeric
@attribute BS30 numeric
@attribute BS31 numeric
@attribute BS32 numeric
@attribute BS33 numeric
@attribute BS34 numeric
@attribute BS35 numeric
@attribute BS36 numeric
@attribute BS37 numeric
@attribute BS38 numeric
@attribute BS39 numeric
@attribute BS40 numeric
@attribute BS41 numeric
@attribute BS42 numeric
@attribute BS43 numeric
@attribute BS44 numeric
@attribute BS45 numeric
@attribute BS46 numeric
@attribute BS47 numeric
@attribute BS48 numeric
@attribute BS49 numeric
@attribute BS50 numeric
@attribute BS51 numeric
@attribute BS52 numeric
@attribute BS53 numeric
@attribute BS54 numeric
@attribute BS55 numeric
@attribute BS56 numeric
@attribute BS57 numeric
@attribute BS58 numeric
@attribute BS59 numeric
@attribute BS60 numeric
@attribute BS61 numeric
@attribute BS62 numeric
@attribute BS63 numeric
@attribute BS64 numeric
@attribute BS65 numeric
@attribute BS66 numeric
@attribute BS67 numeric
@attribute BS68 numeric
@attribute BS69 numeric
@attribute BS70 numeric
@attribute BS71 numeric
@attribute BS72 numeric
@attribute flag {difficult,easy}

@data
14,10,2,5,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
6,12,5,6,0,14,12,196,184,25,2,21,4,1,34,12,1,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0.083,0,0.167,0,0,0,0,0,1,0,0,0,1,5,12,6,1,38,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
14,16,2,13,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,8,2,4,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,15,2,10,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,9,2,4,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,9,2,4,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
6,6,2,2,0,24,5,196,184,16,1,70,19,1,21,6,1,0,2,0,0,0,0,0,0,0,0,0,8,0,0,2,0.167,0,0.333,0,0,0,0,0,1.333,0,0,0,0,5,15,2,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,difficult
6,8,3,4,0,24,5,196,184,16,1,70,19,1,21,9,1,1,2,1,0,1,0,0,0,0,0,0,7,0,0,2,0.111,0.111,0.222,0.111,0,0,0,0,0.778,0,0,0,0,5,15,2,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,difficult
6,12,6,6,0,18,5,196,184,12,4,68,10,1,40,6,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0.167,0,0.167,0,0,0,0,0,0.833,0,0,0,3,2,6,4,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
14,18,3,14,1,24,12,196,184,25,79,32,20,1,34,70,0,7,7,1,1,0,0,0,2,2,0,19,13,2,4,21,0,0.1,0.1,0.014,0.029,0.029,0,0.271,0.186,0.029,0.057,0.029,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,13,2,8,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
6,12,5,7,0,14,5,196,184,25,2,21,4,1,34,8,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0.125,0,0.125,0,0,0,0,0,1.125,0,0,0,3,2,6,4,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,difficult
14,14,2,9,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,18,3,14,1,24,12,196,184,25,79,32,20,1,34,70,0,7,7,1,1,0,0,0,2,2,0,19,13,2,4,21,0,0.1,0.1,0.014,0.029,0.029,0,0.271,0.186,0.029,0.057,0.029,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
6,15,7,9,0,18,5,196,184,12,4,68,10,1,40,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.5,0,0,0,0,0,0,0,1.5,0,0,0,3,2,6,4,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
14,10,2,7,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,1,0,1,3,1,24,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,7,2,4,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,12,2,7,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,13,2,8,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,8,2,4,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,16,7,10,0,14,7,196,184,0,2,6,1,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,6,4,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
14,9,2,4,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,14,2,9,0,12,8,196,184,694,35,795,20,0,54,207,0,3,5,0,0,0,0,0,0,0,0,16,28,1,11,8,0,0.014,0.024,0,0,0,0,0.077,0.135,0.005,0.053,0.005,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,11,2,6,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,11,3,6,0,24,12,196,184,25,79,32,20,1,34,70,0,7,7,1,1,0,0,0,2,2,0,19,13,2,4,21,0,0.1,0.1,0.014,0.029,0.029,0,0.271,0.186,0.029,0.057,0.029,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,27,3,21,0,9,9,196,184,0,1,4,1,1,24,2,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0.5,0,0,0,0,0,0,0.5,2,0,0,0,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
4,13,2,10,1,14,10,196,184,11,5,2,0,0,85,44,3,7,6,3,3,0,0,0,0,0,0,13,7,1,3,19,0.068,0.159,0.136,0.068,0,0,0,0.295,0.159,0.023,0.068,0.023,694,35,795,20,0,54,95,0,5,10,2,0,0,2,0,2,2,1,7,24,1,3,6,0,0.053,0.105,0.021,0.021,0.021,0.011,0.074,0.253,0.011,0.032,0.011,difficult
6,7,2,2,1,11,8,196,184,2,4,9,3,1,25,15,0,2,3,1,1,0,0,0,0,0,0,0,17,1,1,4,0,0.133,0.2,0.067,0,0,0,0,1.133,0.067,0.067,0.067,1,7,16,6,1,26,26,0,1,5,0,0,0,0,0,0,0,0,0,19,1,0,5,0,0.038,0.192,0,0,0,0,0,0.731,0.038,0,0.038,easy
6,15,7,9,0,18,5,196,184,12,4,68,10,1,40,14,1,2,2,1,0,1,0,0,0,0,0,1,9,0,0,1,0.071,0.143,0.143,0.071,0,0,0,0.071,0.643,0,0,0,3,2,6,4,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
14,14,6,8,0,20,8,196,184,0,2,6,2,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,12,6,1,38,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
14,12,2,9,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,1,0,1,3,1,24,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
6,9,4,6,0,17,5,196,184,4,5,8,4,1,41,17,1,1,4,1,0,0,1,0,0,0,0,0,11,0,1,2,0.059,0.059,0.235,0.059,0,0,0,0,0.647,0,0.059,0,2,11,15,1,1,31,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,difficult
4,4,1,1,1,10,4,196,184,4,7,19,0,1,7,9,1,2,2,1,1,0,0,0,0,0,0,0,3,0,1,4,0.111,0.222,0.222,0.111,0,0,0,0,0.333,0,0.111,0,4,7,19,0,1,7,9,1,2,2,1,1,0,0,0,0,0,0,0,3,0,1,4,0.111,0.222,0.222,0.111,0,0,0,0,0.333,0,0.111,0,difficult
14,7,2,4,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,7,2,4,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,13,2,10,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,9,2,4,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,11,2,6,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,11,2,8,1,12,10,196,184,694,35,795,20,0,54,85,0,1,2,0,0,0,0,0,0,0,0,5,7,1,3,3,0,0.012,0.024,0,0,0,0,0.059,0.082,0.012,0.035,0.012,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
6,13,3,3,0,10,8,196,184,3,4,12,5,1,27,25,0,3,4,2,2,0,0,0,0,0,0,0,24,1,1,2,0,0.12,0.16,0.08,0,0,0,0,0.96,0.04,0.04,0.04,3,2,6,4,1,21,14,0,3,2,1,1,0,0,0,0,0,0,0,11,1,1,2,0,0.214,0.143,0.071,0,0,0,0,0.786,0.071,0.071,0.071,easy
6,13,6,7,0,14,5,196,184,25,2,21,4,1,34,9,1,2,2,0,0,0,0,0,0,0,0,0,6,0,0,2,0.111,0.222,0.222,0,0,0,0,0,0.667,0,0,0,1,3,8,6,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
14,9,2,4,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,11,2,6,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,12,2,9,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
4,12,2,2,0,16,8,196,184,2,11,15,1,1,31,26,0,2,6,1,1,0,0,0,0,0,0,0,24,1,1,9,0,0.077,0.231,0.038,0,0,0,0,0.923,0.038,0.038,0.038,1,5,12,6,1,38,14,0,1,3,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0.071,0.214,0,0,0,0,0,0.786,0.071,0,0.071,easy
14,10,3,5,0,5,18,196,184,2,2,7,6,1,27,4,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0.25,0,0.25,0,0,0,0,0.25,0.25,0,0,0,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
6,11,5,5,0,14,5,196,184,25,2,21,4,1,34,120,1,12,26,5,4,1,0,0,0,0,0,0,96,0,0,18,0.008,0.1,0.217,0.042,0,0,0,0,0.8,0,0,0,1,3,8,6,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
12,9,1,1,0,6,8,196,184,2,13,28,10,1,35,53,0,2,12,1,1,0,0,0,0,0,0,0,33,1,1,7,0,0.038,0.226,0.019,0,0,0,0,0.623,0.019,0.019,0.019,2,13,28,10,1,35,53,0,2,12,1,1,0,0,0,0,0,0,0,33,1,1,7,0,0.038,0.226,0.019,0,0,0,0,0.623,0.019,0.019,0.019,easy
14,10,2,5,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,9,2,4,0,12,3,196,184,694,35,795,20,0,54,8,0,2,1,0,0,0,0,0,0,0,0,2,4,1,0,1,0,0.25,0.125,0,0,0,0,0.25,0.5,0.125,0,0.125,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,13,3,8,0,24,12,196,184,25,79,32,20,1,34,70,0,7,7,1,1,0,0,0,2,2,0,19,13,2,4,21,0,0.1,0.1,0.014,0.029,0.029,0,0.271,0.186,0.029,0.057,0.029,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
12,26,6,11,0,18,23,196,184,2,9,22,4,1,29,14,1,1,3,1,1,0,0,0,0,0,0,0,9,0,2,5,0.071,0.071,0.214,0.071,0,0,0,0,0.643,0,0.143,0,1,7,16,6,1,26,26,0,1,5,0,0,0,0,0,0,0,0,0,19,1,0,5,0,0.038,0.192,0,0,0,0,0,0.731,0.038,0,0.038,difficult
6,12,5,6,0,14,11,196,184,25,2,21,4,1,34,45,1,3,12,1,1,0,0,0,0,0,0,0,36,0,0,2,0.022,0.067,0.267,0.022,0,0,0,0,0.8,0,0,0,1,5,12,6,1,38,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
14,19,3,14,0,12,22,196,184,0,5,15,2,1,21,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,14,6,8,0,13,8,196,184,0,1,4,0,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,13,28,10,1,35,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
14,10,2,5,0,12,18,196,184,694,35,795,20,0,54,21,0,2,1,1,0,0,1,0,0,0,0,3,6,1,1,2,0,0.095,0.048,0.048,0,0,0,0.143,0.286,0.048,0.048,0.048,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
6,8,3,4,0,24,5,196,184,16,1,70,19,1,21,9,1,1,2,1,0,1,0,0,0,0,0,0,7,0,0,2,0.111,0.111,0.222,0.111,0,0,0,0,0.778,0,0,0,0,5,15,2,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,difficult
6,13,2,10,1,14,10,196,184,11,5,2,0,0,85,44,3,7,6,3,3,0,0,0,0,0,0,13,7,1,3,19,0.068,0.159,0.136,0.068,0,0,0,0.295,0.159,0.023,0.068,0.023,694,35,795,20,0,54,95,0,5,10,2,0,0,2,0,2,2,1,7,24,1,3,6,0,0.053,0.105,0.021,0.021,0.021,0.011,0.074,0.253,0.011,0.032,0.011,difficult
14,9,3,4,1,20,7,196,184,3,5,11,0,1,13,4,0,0,1,0,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0.25,0,0,0,0,0.25,1,0.25,0.25,0.25,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,8,2,5,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,12,2,7,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,12,5,6,0,11,8,196,184,8,21,52,8,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,8,6,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
6,13,5,8,0,14,11,196,184,25,2,21,4,1,34,45,1,3,12,1,1,0,0,0,0,0,0,0,36,0,0,2,0.022,0.067,0.267,0.022,0,0,0,0,0.8,0,0,0,3,2,6,4,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,difficult
14,8,2,5,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,13,2,10,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,1,0,1,3,1,24,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,15,2,12,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
4,4,1,1,1,11,34,196,184,9,1,13,17,1,64,5,2,2,0,1,1,0,0,0,0,0,0,1,2,1,1,1,0.4,0.4,0,0.2,0,0,0,0.2,0.4,0.2,0.2,0.2,9,1,13,17,1,64,5,2,2,0,1,1,0,0,0,0,0,0,1,2,1,1,1,0.4,0.4,0,0.2,0,0,0,0.2,0.4,0.2,0.2,0.2,easy
6,9,3,3,0,14,7,196,184,8,3,6,14,1,35,71,1,8,14,4,3,1,0,0,0,0,0,0,67,0,3,11,0.014,0.113,0.197,0.056,0,0,0,0,0.944,0,0.042,0,4,13,28,13,1,36,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
14,12,3,7,0,24,12,196,184,25,79,32,20,1,34,70,0,7,7,1,1,0,0,0,2,2,0,19,13,2,4,21,0,0.1,0.1,0.014,0.029,0.029,0,0.271,0.186,0.029,0.057,0.029,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
